_id,fy_ef,organization,estimates_document,vote_number,vote_type,authorities
7812,FY 2019-20,Library of Parliament,Main Estimates,1,Operating/Program,44707087
7813,FY 2019-20,Marine Atlantic Inc.,Main Estimates,1,Payments to Crown Corps,152904000
7814,FY 2019-20,Military Grievances External Review Committee,Main Estimates,1,Operating/Program,6181230
7815,FY 2019-20,Military Police Complaints Commission,Main Estimates,1,Operating/Program,4320051
7816,FY 2019-20,National Arts Centre Corporation,Main Estimates,1,Payments to Crown Corps,35270142
7817,FY 2019-20,National Capital Commission,Main Estimates,5,Payments to Crown Corps,62452816
7818,FY 2019-20,National Capital Commission,Main Estimates,1,Payments to Crown Corps,73809724
7819,FY 2019-20,National Film Board,Main Estimates,1,Operating/Program,68370782
7820,FY 2019-20,National Gallery of Canada,Main Estimates,5,Payments to Crown Corps,8000000
7821,FY 2019-20,National Gallery of Canada,Main Estimates,1,Payments to Crown Corps,38613922
7822,FY 2019-20,National Museum of Science and Technology,Main Estimates,1,Payments to Crown Corps,30842380
7823,FY 2019-20,National Research Council of Canada,Main Estimates,5,Capital,58320000
7824,FY 2019-20,National Research Council of Canada,Main Estimates,1,Operating/Program,436503800
7825,FY 2019-20,National Research Council of Canada,Main Estimates,10,Grants & Contributions,448814193
7826,FY 2019-20,National Security and Intelligence Review Agency Secretariat,Main Estimates,1,Operating/Program,4629028
7827,FY 2019-20,Natural Sciences and Engineering Research Council,Main Estimates,15,Budget Implementation Vote,4350000
7828,FY 2019-20,Natural Sciences and Engineering Research Council,Main Estimates,10,Budget Implementation Vote,1805000
7829,FY 2019-20,Natural Sciences and Engineering Research Council,Main Estimates,5,Grants & Contributions,1296774972
7830,FY 2019-20,Natural Sciences and Engineering Research Council,Main Estimates,1,Operating/Program,53905016
7831,FY 2019-20,Northern Pipeline Agency,Main Estimates,1,Operating/Program,1055000
7832,FY 2019-20,Office of the Auditor General,Main Estimates,1,Operating/Program,78084524
7833,FY 2019-20,Office of the Chief Electoral Officer,Main Estimates,1,Operating/Program,39217905
7834,FY 2019-20,Office of the Commissioner for Federal Judicial Affairs,Main Estimates,15,Budget Implementation Vote,1154394
7835,FY 2019-20,Office of the Commissioner for Federal Judicial Affairs,Main Estimates,10,Budget Implementation Vote,1168987
7836,FY 2019-20,Office of the Commissioner for Federal Judicial Affairs,Main Estimates,1,Operating/Program,9120770
7837,FY 2019-20,Office of the Commissioner for Federal Judicial Affairs,Main Estimates,5,Operating/Program,4063869
7838,FY 2019-20,Office of the Commissioner of Lobbying,Main Estimates,1,Operating/Program,4406633
7839,FY 2019-20,Office of the Commissioner of Official Languages,Main Estimates,1,Operating/Program,19373985
7840,FY 2019-20,Office of the Conflict of Interest and Ethics Commissioner,Main Estimates,1,Operating/Program,6355513
7841,FY 2019-20,Office of the Correctional Investigator of Canada,Main Estimates,1,Operating/Program,4735703
7842,FY 2019-20,Office of the Director of Public Prosecutions,Main Estimates,5,Budget Implementation Vote,4200000
7843,FY 2019-20,Office of the Director of Public Prosecutions,Main Estimates,1,Operating/Program,176434642
7844,FY 2019-20,Office of the Governor General's Secretary,Main Estimates,1,Operating/Program,19918532
7845,FY 2019-20,Office of the Intelligence Commissioner,Main Estimates,1,Operating/Program,1974788
7846,FY 2019-20,Office of the Parliamentary Budget Officer,Main Estimates,1,Operating/Program,7016482
7847,FY 2019-20,Office of the Public Sector Integrity Commissioner,Main Estimates,1,Operating/Program,4982609
7848,FY 2019-20,Office of the Senate Ethics Officer,Main Estimates,1,Operating/Program,1231278
7849,FY 2019-20,Office of the Superintendent of Financial Institutions,Main Estimates,1,Operating/Program,1073489
7850,FY 2019-20,Offices of the Information and Privacy Commissioners of Canada,Main Estimates,15,Budget Implementation Vote,5100000
7851,FY 2019-20,Offices of the Information and Privacy Commissioners of Canada,Main Estimates,10,Budget Implementation Vote,3032615
7852,FY 2019-20,Offices of the Information and Privacy Commissioners of Canada,Main Estimates,5,Operating/Program,21968802
7853,FY 2019-20,Offices of the Information and Privacy Commissioners of Canada,Main Estimates,1,Operating/Program,10209556
7854,FY 2019-20,Parks Canada Agency,Main Estimates,5,Other,13423000
7855,FY 2019-20,Parks Canada Agency,Main Estimates,1,Operating/Program,1433900120
7856,FY 2019-20,Parliamentary Protective Service,Main Estimates,1,Operating/Program,81786647
7857,FY 2019-20,Parole Board of Canada,Main Estimates,1,Operating/Program,41777398
7858,FY 2019-20,Patented Medicine Prices Review Board,Main Estimates,1,Operating/Program,15333767
7859,FY 2019-20,Privy Council Office,Main Estimates,1,Operating/Program,161140646
7860,FY 2019-20,Public Health Agency of Canada,Main Estimates,25,Budget Implementation Vote,4999000
7861,FY 2019-20,Public Health Agency of Canada,Main Estimates,20,Budget Implementation Vote,800000
7862,FY 2019-20,Public Health Agency of Canada,Main Estimates,15,Budget Implementation Vote,2510000
7863,FY 2019-20,Public Health Agency of Canada,Main Estimates,5,Capital,7752500
7864,FY 2019-20,Public Health Agency of Canada,Main Estimates,1,Operating/Program,328084900
7865,FY 2019-20,Public Health Agency of Canada,Main Estimates,10,Grants & Contributions,238443035
7866,FY 2019-20,Public Service Commission,Main Estimates,1,Operating/Program,74055538
7867,FY 2019-20,Registrar of the Supreme Court of Canada,Main Estimates,1,Operating/Program,25714267
7868,FY 2019-20,Royal Canadian Mounted Police,Main Estimates,30,Budget Implementation Vote,4100000
7869,FY 2019-20,Royal Canadian Mounted Police,Main Estimates,25,Budget Implementation Vote,992280
7870,FY 2019-20,Royal Canadian Mounted Police,Main Estimates,20,Budget Implementation Vote,18440000
7871,FY 2019-20,Royal Canadian Mounted Police,Main Estimates,15,Budget Implementation Vote,3300000
7872,FY 2019-20,Royal Canadian Mounted Police,Main Estimates,5,Capital,248693417
7873,FY 2019-20,Royal Canadian Mounted Police,Main Estimates,10,Grants & Contributions,286473483
7874,FY 2019-20,Royal Canadian Mounted Police,Main Estimates,1,Operating/Program,2436011187
7875,FY 2019-20,Royal Canadian Mounted Police,Main Estimates,35,Budget Implementation Vote,96192357
7876,FY 2019-20,Royal Canadian Mounted Police External Review Committee,Main Estimates,1,Operating/Program,3076946
7877,FY 2019-20,Secretariat of the National Security and Intelligence Committee of Parliamentarians,Main Estimates,1,Operating/Program,3271323
7878,FY 2019-20,Senate,Main Estimates,1,Operating/Program,78375193
7879,FY 2019-20,Shared Services Canada,Main Estimates,10,Budget Implementation Vote,1619949
7880,FY 2019-20,Shared Services Canada,Main Estimates,5,Capital,246323423
7881,FY 2019-20,Shared Services Canada,Main Estimates,1,Operating/Program,1560480166
7882,FY 2019-20,Social Sciences and Humanities Research Council,Main Estimates,15,Budget Implementation Vote,6090000
7883,FY 2019-20,Social Sciences and Humanities Research Council,Main Estimates,10,Budget Implementation Vote,1447000
7884,FY 2019-20,Social Sciences and Humanities Research Council,Main Estimates,5,Grants & Contributions,884037003
7885,FY 2019-20,Social Sciences and Humanities Research Council,Main Estimates,1,Operating/Program,35100061
7886,FY 2019-20,Standards Council of Canada,Main Estimates,1,Payments to Crown Corps,17910000
7887,FY 2019-20,Statistics Canada,Main Estimates,5,Budget Implementation Vote,500000
7888,FY 2019-20,Statistics Canada,Main Estimates,1,Operating/Program,423989188
7889,FY 2019-20,Telefilm Canada,Main Estimates,1,Payments to Crown Corps,101878949
7890,FY 2019-20,The Jacques-Cartier and Champlain Bridges Inc.,Main Estimates,1,Payments to Crown Corps,296580451
7891,FY 2019-20,The National Battlefields Commission,Main Estimates,1,Operating/Program,6982283
7892,FY 2019-20,Treasury Board Secretariat,Main Estimates,55,Budget Implementation Vote,11000000
7893,FY 2019-20,Treasury Board Secretariat,Main Estimates,50,Budget Implementation Vote,25069086
7894,FY 2019-20,Treasury Board Secretariat,Main Estimates,45,Budget Implementation Vote,300000
7895,FY 2019-20,Treasury Board Secretariat,Main Estimates,35,Treasury Board Central,800000000
7896,FY 2019-20,Treasury Board Secretariat,Main Estimates,1,Operating/Program,259075962
7897,FY 2019-20,Treasury Board Secretariat,Main Estimates,30,Treasury Board Central,600000000
7898,FY 2019-20,Treasury Board Secretariat,Main Estimates,25,Treasury Board Central,1600000000
7899,FY 2019-20,Treasury Board Secretariat,Main Estimates,20,Treasury Board Central,2656910100
7900,FY 2019-20,Treasury Board Secretariat,Main Estimates,10,Treasury Board Central,326825856
7901,FY 2019-20,Treasury Board Secretariat,Main Estimates,5,Treasury Board Central,750000000
7902,FY 2019-20,VIA Rail Canada Inc.,Main Estimates,1,Payments to Crown Corps,731594011
7903,FY 2019-20,Veterans Review and Appeal Board,Main Estimates,1,Operating/Program,9582026
7904,FY 2019-20,Windsor-Detroit Bridge Authority,Main Estimates,1,Payments to Crown Corps,802476546
7905,FY 2019-20,Canada Border Services Agency,Supplementary Estimates A,5,Capital,45766511
7906,FY 2019-20,Canada Border Services Agency,Supplementary Estimates A,1,Operating/Program,17458140
7907,FY 2019-20,Canada Mortgage and Housing Corporation,Supplementary Estimates A,1,Payments to Crown Corps,9292221
7908,FY 2019-20,Canada Revenue Agency,Supplementary Estimates A,1,Operating/Program,21759344
7909,FY 2019-20,Canadian Accessibility Standards Development Organization,Supplementary Estimates A,5,Grants & Contributions,3250000
7910,FY 2019-20,Canadian Accessibility Standards Development Organization,Supplementary Estimates A,1,Operating/Program,5866751
7911,FY 2019-20,Canadian Air Transport Security Authority,Supplementary Estimates A,1,Payments to Crown Corps,23110960
7912,FY 2019-20,Canadian Institutes of Health Research,Supplementary Estimates A,5,Grants & Contributions,6758252
7913,FY 2019-20,Canadian Northern Economic Development Agency,Supplementary Estimates A,5,Grants & Contributions,68727
7914,FY 2019-20,Canadian Northern Economic Development Agency,Supplementary Estimates A,1,Operating/Program,1583980
7915,FY 2019-20,Communications Security Establishment,Supplementary Estimates A,1,Operating/Program,19625378
7916,FY 2019-20,Correctional Service of Canada,Supplementary Estimates A,5,Capital,-7088756
7917,FY 2019-20,Correctional Service of Canada,Supplementary Estimates A,1,Operating/Program,71911395
7918,FY 2019-20,Department for Women and Gender Equality,Supplementary Estimates A,5,Grants & Contributions,2000000
7919,FY 2019-20,Department of Canadian Heritage,Supplementary Estimates A,5,Grants & Contributions,58347857
7920,FY 2019-20,Department of Canadian Heritage,Supplementary Estimates A,1,Operating/Program,9520806
7921,FY 2019-20,Department of Citizenship and Immigration,Supplementary Estimates A,5,Capital,7584974
7922,FY 2019-20,Department of Citizenship and Immigration,Supplementary Estimates A,1,Operating/Program,15279493
7923,FY 2019-20,Department of Citizenship and Immigration,Supplementary Estimates A,10,Grants & Contributions,153173000
7924,FY 2019-20,Department of Crown-Indigenous Relations and Northern Affairs,Supplementary Estimates A,10,Grants & Contributions,185789393
7925,FY 2019-20,Department of Crown-Indigenous Relations and Northern Affairs,Supplementary Estimates A,1,Operating/Program,87505898
7926,FY 2019-20,Department of Crown-Indigenous Relations and Northern Affairs,Supplementary Estimates A,5,Capital,838710
7927,FY 2019-20,Department of Employment and Social Development,Supplementary Estimates A,5,Grants & Contributions,124574314
7928,FY 2019-20,Department of Employment and Social Development,Supplementary Estimates A,1,Operating/Program,43113283
7929,FY 2019-20,Department of Finance,Supplementary Estimates A,1,Operating/Program,4444093
7930,FY 2019-20,Department of Fisheries and Oceans,Supplementary Estimates A,5,Capital,68279286
7931,FY 2019-20,Department of Fisheries and Oceans,Supplementary Estimates A,10,Grants & Contributions,78124005
7932,FY 2019-20,Department of Fisheries and Oceans,Supplementary Estimates A,1,Operating/Program,209489626
7933,FY 2019-20,"Department of Foreign Affairs, Trade and Development",Supplementary Estimates A,10,Grants & Contributions,538115990
7934,FY 2019-20,"Department of Foreign Affairs, Trade and Development",Supplementary Estimates A,1,Operating/Program,26832564
7935,FY 2019-20,"Department of Foreign Affairs, Trade and Development",Supplementary Estimates A,5,Capital,544800
7936,FY 2019-20,Department of Health,Supplementary Estimates A,5,Capital,2400000
7937,FY 2019-20,Department of Health,Supplementary Estimates A,1,Operating/Program,97052474
7938,FY 2019-20,Department of Indigenous Services,Supplementary Estimates A,10,Grants & Contributions,18531900
7939,FY 2019-20,Department of Indigenous Services,Supplementary Estimates A,1,Operating/Program,14062240
7940,FY 2019-20,Department of National Defence,Supplementary Estimates A,5,Capital,242551357
7941,FY 2019-20,Department of National Defence,Supplementary Estimates A,10,Grants & Contributions,41225000
7942,FY 2019-20,Department of National Defence,Supplementary Estimates A,1,Operating/Program,143386357
7943,FY 2019-20,Department of Public Safety and Emergency Preparedness,Supplementary Estimates A,5,Grants & Contributions,26207094
7944,FY 2019-20,Department of Public Safety and Emergency Preparedness,Supplementary Estimates A,1,Operating/Program,5084942
7945,FY 2019-20,Department of Public Works and Government Services,Supplementary Estimates A,5,Capital,103760085
7946,FY 2019-20,Department of Public Works and Government Services,Supplementary Estimates A,1,Operating/Program,90426302
7947,FY 2019-20,Department of Transport,Supplementary Estimates A,20,Grants & Contributions,15192044
7948,FY 2019-20,Department of Transport,Supplementary Estimates A,15,Grants & Contributions,200093768
7949,FY 2019-20,Department of Transport,Supplementary Estimates A,10,Grants & Contributions,6965510
7950,FY 2019-20,Department of Transport,Supplementary Estimates A,1,Operating/Program,4616888
7951,FY 2019-20,Department of Veterans Affairs,Supplementary Estimates A,1,Operating/Program,115476233
7952,FY 2019-20,Department of Veterans Affairs,Supplementary Estimates A,5,Grants & Contributions,741968100
7953,FY 2019-20,House of Commons,Supplementary Estimates A,1,Operating/Program,17350216
7954,FY 2019-20,International Joint Commission (Canadian Section),Supplementary Estimates A,1,Operating/Program,902755
7955,FY 2019-20,Library and Archives of Canada,Supplementary Estimates A,5,Capital,-5100000
7956,FY 2019-20,Library and Archives of Canada,Supplementary Estimates A,1,Operating/Program,8480002
7957,FY 2019-20,Marine Atlantic Inc.,Supplementary Estimates A,1,Payments to Crown Corps,3000000
7958,FY 2019-20,National Security and Intelligence Review Agency Secretariat,Supplementary Estimates A,1,Operating/Program,18809325
7959,FY 2019-20,Natural Sciences and Engineering Research Council,Supplementary Estimates A,5,Grants & Contributions,18789106
7960,FY 2019-20,Offices of the Information and Privacy Commissioners of Canada,Supplementary Estimates A,1,Operating/Program,1256935
7961,FY 2019-20,Parks Canada Agency,Supplementary Estimates A,1,Operating/Program,23544271
7962,FY 2019-20,Privy Council Office,Supplementary Estimates A,1,Operating/Program,9900000
7963,FY 2019-20,Royal Canadian Mounted Police,Supplementary Estimates A,5,Capital,21941292
7964,FY 2019-20,Royal Canadian Mounted Police,Supplementary Estimates A,1,Operating/Program,124987915
7965,FY 2019-20,Royal Canadian Mounted Police,Supplementary Estimates A,10,Grants & Contributions,121591200
7966,FY 2019-20,Shared Services Canada,Supplementary Estimates A,5,Capital,142525776
7967,FY 2019-20,Shared Services Canada,Supplementary Estimates A,1,Operating/Program,92719842
7968,FY 2019-20,Social Sciences and Humanities Research Council,Supplementary Estimates A,5,Grants & Contributions,1962678
7969,FY 2019-20,Social Sciences and Humanities Research Council,Supplementary Estimates A,1,Operating/Program,623880
7970,FY 2019-20,Statistics Canada,Supplementary Estimates A,1,Operating/Program,16132865
7971,FY 2019-20,Telefilm Canada,Supplementary Estimates A,1,Payments to Crown Corps,7500000
7972,FY 2019-20,Treasury Board Secretariat,Supplementary Estimates A,1,Operating/Program,13947960
7973,FY 2019-20,Treasury Board Secretariat,Supplementary Estimates A,15,Treasury Board Central,466720520
7974,FY 2019-20,Treasury Board Secretariat,Supplementary Estimates A,10,Treasury Board Central,45750000
7975,FY 2019-20,Administrative Tribunals Support Service of Canada,Supplementary Estimates B,1,Operating/Program,436687
7976,FY 2019-20,Atlantic Canada Opportunities Agency,Supplementary Estimates B,5,Grants & Contributions,6908032
7977,FY 2019-20,Atlantic Canada Opportunities Agency,Supplementary Estimates B,1,Operating/Program,3932
7978,FY 2019-20,Atomic Energy of Canada Limited,Supplementary Estimates B,1,Payments to Crown Corps,550000
7979,FY 2019-20,Canada Border Services Agency,Supplementary Estimates B,5,Capital,-323000
7980,FY 2019-20,Canada Border Services Agency,Supplementary Estimates B,1,Operating/Program,3620884
7981,FY 2019-20,Canada Council for the Arts,Supplementary Estimates B,1,Payments to Crown Corps,127000
7982,FY 2019-20,Canada Mortgage and Housing Corporation,Supplementary Estimates B,1,Payments to Crown Corps,77828091
7983,FY 2019-20,Canada Revenue Agency,Supplementary Estimates B,1,Operating/Program,-1161546
7984,FY 2019-20,Canadian Energy Regulator,Supplementary Estimates B,1,Operating/Program,2610546
7985,FY 2019-20,Canadian Food Inspection Agency,Supplementary Estimates B,5,Capital,1931626
7986,FY 2019-20,Canadian Food Inspection Agency,Supplementary Estimates B,1,Operating/Program,1767784
7987,FY 2019-20,Canadian Human Rights Commission,Supplementary Estimates B,1,Operating/Program,2600000
7988,FY 2019-20,Canadian Institutes of Health Research,Supplementary Estimates B,5,Grants & Contributions,16467412
7989,FY 2019-20,Canadian Institutes of Health Research,Supplementary Estimates B,1,Operating/Program,-1395548
7990,FY 2019-20,Canadian Northern Economic Development Agency,Supplementary Estimates B,5,Grants & Contributions,838568
7991,FY 2019-20,Canadian Security Intelligence Service,Supplementary Estimates B,1,Operating/Program,12107537
7992,FY 2019-20,Canadian Space Agency,Supplementary Estimates B,10,Grants & Contributions,930000
7993,FY 2019-20,Canadian Space Agency,Supplementary Estimates B,5,Capital,68820477
7994,FY 2019-20,Canadian Transportation Accident Investigation and Safety Board,Supplementary Estimates B,1,Operating/Program,290100
7995,FY 2019-20,Canadian Transportation Agency,Supplementary Estimates B,1,Operating/Program,2867960
7996,FY 2019-20,Communications Security Establishment,Supplementary Estimates B,1,Operating/Program,10753996
7997,FY 2019-20,Courts Administration Service,Supplementary Estimates B,1,Operating/Program,1906588
7998,FY 2019-20,Department for Women and Gender Equality,Supplementary Estimates B,5,Grants & Contributions,262866
7999,FY 2019-20,Department for Women and Gender Equality,Supplementary Estimates B,1,Operating/Program,-297865
8000,FY 2019-20,Department of Agriculture and Agri-Food,Supplementary Estimates B,5,Capital,12391618
8001,FY 2019-20,Department of Agriculture and Agri-Food,Supplementary Estimates B,10,Grants & Contributions,57606293
8002,FY 2019-20,Department of Agriculture and Agri-Food,Supplementary Estimates B,1,Operating/Program,-1405645
8003,FY 2019-20,Department of Canadian Heritage,Supplementary Estimates B,5,Grants & Contributions,27143384
8004,FY 2019-20,Department of Canadian Heritage,Supplementary Estimates B,1,Operating/Program,-469000
8005,FY 2019-20,Department of Citizenship and Immigration,Supplementary Estimates B,5,Capital,-7099604
8006,FY 2019-20,Department of Citizenship and Immigration,Supplementary Estimates B,1,Operating/Program,-2853600
8007,FY 2019-20,Department of Citizenship and Immigration,Supplementary Estimates B,10,Grants & Contributions,-1140589
8008,FY 2019-20,Department of Crown-Indigenous Relations and Northern Affairs,Supplementary Estimates B,60,Debt Forgiveness,919028970
8009,FY 2019-20,Department of Crown-Indigenous Relations and Northern Affairs,Supplementary Estimates B,10,Grants & Contributions,60959515
8010,FY 2019-20,Department of Crown-Indigenous Relations and Northern Affairs,Supplementary Estimates B,1,Operating/Program,21640879
8011,FY 2019-20,Department of Crown-Indigenous Relations and Northern Affairs,Supplementary Estimates B,5,Capital,1193936
8012,FY 2019-20,Department of Employment and Social Development,Supplementary Estimates B,90,Debt Forgiveness,180432220
8013,FY 2019-20,Department of Employment and Social Development,Supplementary Estimates B,1,Operating/Program,13228208
8014,FY 2019-20,Department of Employment and Social Development,Supplementary Estimates B,5,Grants & Contributions,-33483419
8015,FY 2019-20,Department of Fisheries and Oceans,Supplementary Estimates B,5,Capital,5170000
8016,FY 2019-20,Department of Fisheries and Oceans,Supplementary Estimates B,10,Grants & Contributions,-1200820
8017,FY 2019-20,Department of Fisheries and Oceans,Supplementary Estimates B,1,Operating/Program,6823224
8018,FY 2019-20,"Department of Foreign Affairs, Trade and Development",Supplementary Estimates B,20,Other,1
8019,FY 2019-20,"Department of Foreign Affairs, Trade and Development",Supplementary Estimates B,10,Grants & Contributions,4115536
8020,FY 2019-20,"Department of Foreign Affairs, Trade and Development",Supplementary Estimates B,1,Operating/Program,48406034
8021,FY 2019-20,"Department of Foreign Affairs, Trade and Development",Supplementary Estimates B,5,Capital,1351500
8022,FY 2019-20,Department of Health,Supplementary Estimates B,5,Capital,341000
8023,FY 2019-20,Department of Health,Supplementary Estimates B,10,Grants & Contributions,-709056
8024,FY 2019-20,Department of Health,Supplementary Estimates B,1,Operating/Program,504204
8025,FY 2019-20,"Department of Housing, Infrastructure and Communities",Supplementary Estimates B,5,Capital,42378495
8026,FY 2019-20,"Department of Housing, Infrastructure and Communities",Supplementary Estimates B,1,Operating/Program,72952813
8027,FY 2019-20,"Department of Housing, Infrastructure and Communities",Supplementary Estimates B,10,Grants & Contributions,22297867
8028,FY 2019-20,Department of Indigenous Services,Supplementary Estimates B,5,Capital,-639000
8029,FY 2019-20,Department of Indigenous Services,Supplementary Estimates B,10,Grants & Contributions,1019167800
8030,FY 2019-20,Department of Indigenous Services,Supplementary Estimates B,1,Operating/Program,-9416279
8031,FY 2019-20,Department of Industry,Supplementary Estimates B,1,Operating/Program,2171656
8032,FY 2019-20,Department of Industry,Supplementary Estimates B,5,Capital,993363
8033,FY 2019-20,Department of Industry,Supplementary Estimates B,10,Grants & Contributions,62745763
8034,FY 2019-20,Department of Justice,Supplementary Estimates B,5,Grants & Contributions,34836400
8035,FY 2019-20,Department of Justice,Supplementary Estimates B,1,Operating/Program,524792
8036,FY 2019-20,Department of National Defence,Supplementary Estimates B,5,Capital,445011106
8037,FY 2019-20,Department of National Defence,Supplementary Estimates B,1,Operating/Program,343957067
8038,FY 2019-20,Department of Natural Resources,Supplementary Estimates B,10,Grants & Contributions,33430599
8039,FY 2019-20,Department of Natural Resources,Supplementary Estimates B,1,Operating/Program,9417502
8040,FY 2019-20,Department of Public Safety and Emergency Preparedness,Supplementary Estimates B,5,Grants & Contributions,-52721309
8041,FY 2019-20,Department of Public Safety and Emergency Preparedness,Supplementary Estimates B,1,Operating/Program,3800000
8042,FY 2019-20,Department of Public Works and Government Services,Supplementary Estimates B,5,Capital,230000
8043,FY 2019-20,Department of Public Works and Government Services,Supplementary Estimates B,1,Operating/Program,9335854
8044,FY 2019-20,Department of Transport,Supplementary Estimates B,15,Grants & Contributions,100000
8045,FY 2019-20,Department of Transport,Supplementary Estimates B,10,Grants & Contributions,2911153
8046,FY 2019-20,Department of Transport,Supplementary Estimates B,5,Capital,5180149
8047,FY 2019-20,Department of Transport,Supplementary Estimates B,1,Operating/Program,2878623
8048,FY 2019-20,Department of Veterans Affairs,Supplementary Estimates B,1,Operating/Program,-4178505
8049,FY 2019-20,Department of Veterans Affairs,Supplementary Estimates B,5,Grants & Contributions,2529001
8050,FY 2019-20,Department of Western Economic Diversification,Supplementary Estimates B,1,Operating/Program,49043
8051,FY 2019-20,Department of Western Economic Diversification,Supplementary Estimates B,5,Grants & Contributions,4894025
8052,FY 2019-20,Department of the Environment,Supplementary Estimates B,10,Grants & Contributions,3904270
8053,FY 2019-20,Department of the Environment,Supplementary Estimates B,1,Operating/Program,19545113
8054,FY 2019-20,Economic Development Agency of Canada for the Regions of Quebec,Supplementary Estimates B,5,Grants & Contributions,3935135
8055,FY 2019-20,Economic Development Agency of Canada for the Regions of Quebec,Supplementary Estimates B,1,Operating/Program,9622
8056,FY 2019-20,Federal Economic Development Agency for Southern Ontario,Supplementary Estimates B,5,Grants & Contributions,4434631
8057,FY 2019-20,Federal Economic Development Agency for Southern Ontario,Supplementary Estimates B,1,Operating/Program,21519
8058,FY 2019-20,Financial Transactions and Reports Analysis Centre of Canada,Supplementary Estimates B,1,Operating/Program,1269904
8059,FY 2019-20,Immigration and Refugee Board,Supplementary Estimates B,1,Operating/Program,-86000
8060,FY 2019-20,Impact Assessment Agency of Canada,Supplementary Estimates B,1,Operating/Program,-1834850
8061,FY 2019-20,Library and Archives of Canada,Supplementary Estimates B,1,Operating/Program,1595666
8062,FY 2019-20,Library of Parliament,Supplementary Estimates B,1,Operating/Program,995908
8063,FY 2019-20,National Research Council of Canada,Supplementary Estimates B,10,Grants & Contributions,15060708
8064,FY 2019-20,National Research Council of Canada,Supplementary Estimates B,5,Capital,1593794
8065,FY 2019-20,National Research Council of Canada,Supplementary Estimates B,1,Operating/Program,-492614
8066,FY 2019-20,Natural Sciences and Engineering Research Council,Supplementary Estimates B,5,Grants & Contributions,-21032984
8067,FY 2019-20,Natural Sciences and Engineering Research Council,Supplementary Estimates B,1,Operating/Program,2151720
8068,FY 2019-20,Office of the Chief Electoral Officer,Supplementary Estimates B,1,Operating/Program,4374134
8069,FY 2019-20,Office of the Director of Public Prosecutions,Supplementary Estimates B,1,Operating/Program,-2001694
8070,FY 2019-20,Parks Canada Agency,Supplementary Estimates B,5,Other,12900000
8071,FY 2019-20,Parks Canada Agency,Supplementary Estimates B,1,Operating/Program,-9557949
8072,FY 2019-20,Parole Board of Canada,Supplementary Estimates B,1,Operating/Program,1418286
8073,FY 2019-20,Public Health Agency of Canada,Supplementary Estimates B,5,Capital,-1000000
8074,FY 2019-20,Public Health Agency of Canada,Supplementary Estimates B,10,Grants & Contributions,7217910
8075,FY 2019-20,Public Health Agency of Canada,Supplementary Estimates B,1,Operating/Program,8637192
8076,FY 2019-20,Royal Canadian Mounted Police,Supplementary Estimates B,5,Capital,1416104
8077,FY 2019-20,Royal Canadian Mounted Police,Supplementary Estimates B,1,Operating/Program,105112709
8078,FY 2019-20,Royal Canadian Mounted Police External Review Committee,Supplementary Estimates B,1,Operating/Program,639278
8079,FY 2019-20,Shared Services Canada,Supplementary Estimates B,5,Capital,7539595
8080,FY 2019-20,Shared Services Canada,Supplementary Estimates B,1,Operating/Program,-18306723
8081,FY 2019-20,Social Sciences and Humanities Research Council,Supplementary Estimates B,1,Operating/Program,-596915
8082,FY 2019-20,Social Sciences and Humanities Research Council,Supplementary Estimates B,5,Grants & Contributions,9329811
8083,FY 2019-20,The Jacques-Cartier and Champlain Bridges Inc.,Supplementary Estimates B,1,Payments to Crown Corps,25483333
8084,FY 2019-20,Treasury Board Secretariat,Supplementary Estimates B,1,Operating/Program,1893136
8085,FY 2019-20,VIA Rail Canada Inc.,Supplementary Estimates B,1,Payments to Crown Corps,1200000
8086,FY 2019-20,Windsor-Detroit Bridge Authority,Supplementary Estimates B,1,Payments to Crown Corps,29257079
8087,FY 2020-21,Administrative Tribunals Support Service of Canada,Main Estimates,1,Operating/Program,61610764
8088,FY 2020-21,Atlantic Canada Opportunities Agency,Main Estimates,5,Grants & Contributions,223992801
8089,FY 2020-21,Atlantic Canada Opportunities Agency,Main Estimates,1,Operating/Program,68395032
8090,FY 2020-21,Atomic Energy of Canada Limited,Main Estimates,1,Payments to Crown Corps,1253935845
8091,FY 2020-21,Canada Border Services Agency,Main Estimates,5,Capital,177772983
8092,FY 2020-21,Canada Border Services Agency,Main Estimates,1,Operating/Program,1822908053
8093,FY 2020-21,Canada Council for the Arts,Main Estimates,1,Payments to Crown Corps,362644295
8094,FY 2020-21,Canada Mortgage and Housing Corporation,Main Estimates,1,Payments to Crown Corps,2919967012
8095,FY 2020-21,Canada Post Corporation,Main Estimates,1,Payments to Crown Corps,22210000
8096,FY 2020-21,Canada Revenue Agency,Main Estimates,1,Operating/Program,3473684467
8097,FY 2020-21,Canada Revenue Agency,Main Estimates,5,Capital,74120957
8098,FY 2020-21,Canada School of Public Service,Main Estimates,1,Operating/Program,64350979
8099,FY 2020-21,Canadian Accessibility Standards Development Organization,Main Estimates,1,Operating/Program,9121581
8100,FY 2020-21,Canadian Accessibility Standards Development Organization,Main Estimates,5,Grants & Contributions,5500000
8101,FY 2020-21,Canadian Air Transport Security Authority,Main Estimates,1,Payments to Crown Corps,562700000
8102,FY 2020-21,Canadian Broadcasting Corporation,Main Estimates,10,Payments to Crown Corps,105246000
