_id,fy_ef,organization,estimates_document,statutory_item,authorities
6127,FY 2020-21,Federal Economic Development Agency for Southern Ontario,Supplementary Estimates A,Contributions to employee benefit plans,359438
6128,FY 2020-21,National Research Council of Canada,Supplementary Estimates A,Payments pursuant to the Public Health Events of National Concern Payments Act,250000000
6129,FY 2020-21,National Research Council of Canada,Supplementary Estimates A,Contributions to employee benefit plans,780300
6130,FY 2020-21,Parks Canada Agency,Supplementary Estimates A,Contributions to employee benefit plans,5175630
6131,FY 2020-21,Privy Council Office,Supplementary Estimates A,Contributions to employee benefit plans,1926722
6132,FY 2020-21,Public Health Agency of Canada,Supplementary Estimates A,Payments pursuant to the Public Health Events of National Concern Payments Act,2259268800
6133,FY 2020-21,Public Health Agency of Canada,Supplementary Estimates A,Contributions to employee benefit plans,231982
6134,FY 2020-21,Shared Services Canada,Supplementary Estimates A,Contributions to employee benefit plans,384258
6135,FY 2020-21,Telefilm Canada,Supplementary Estimates A,Payments pursuant to the Public Health Events of National Concern Payments Act,27000000
6136,FY 2020-21,Treasury Board Secretariat,Supplementary Estimates A,Contributions to employee benefit plans,1762901
6137,FY 2020-21,Atlantic Canada Opportunities Agency,Supplementary Estimates B,Payments pursuant to the Public Health Events of National Concern Payments Act,21102865
6138,FY 2020-21,Atlantic Canada Opportunities Agency,Supplementary Estimates B,Contributions to employee benefit plans,139970
6139,FY 2020-21,Canada Border Services Agency,Supplementary Estimates B,Contributions to employee benefit plans,991709
6140,FY 2020-21,Canada Council for the Arts,Supplementary Estimates B,Payments pursuant to the Public Health Events of National Concern Payments Act,7800000
6141,FY 2020-21,Canada Mortgage and Housing Corporation,Supplementary Estimates B,Payments pursuant to the Public Health Events of National Concern Payments Act,512355299
6142,FY 2020-21,Canada Revenue Agency,Supplementary Estimates B,Distribution of fuel charges (to provinces and territories) under sections 165 of the Greenhouse Gas Pollution Pricing Act,20000000
6143,FY 2020-21,Canada Revenue Agency,Supplementary Estimates B,Distribution of fuel charges (Canada Carbon Rebate) under section 165 of the Greenhouse Gas Pollution Pricing Act and section 122.8 of the Income Tax Act,1235000000
6144,FY 2020-21,Canada Revenue Agency,Supplementary Estimates B,Payments pursuant to the Public Health Events of National Concern Payments Act,147590000
6145,FY 2020-21,Canada Revenue Agency,Supplementary Estimates B,Contributions to employee benefit plans,799687
6146,FY 2020-21,Canada Revenue Agency,Supplementary Estimates B,Spending of revenues received through the conduct of its operations pursuant to section 60 of the Canada Revenue Agency Act,135800000
6147,FY 2020-21,Canadian Centre for Occupational Health and Safety,Supplementary Estimates B,Contributions to employee benefit plans,287008
6148,FY 2020-21,Canadian Energy Regulator,Supplementary Estimates B,Contributions to employee benefit plans,3813026
6149,FY 2020-21,Canadian Food Inspection Agency,Supplementary Estimates B,Contributions to employee benefit plans,945736
6150,FY 2020-21,Canadian Institutes of Health Research,Supplementary Estimates B,Payments pursuant to the Public Health Events of National Concern Payments Act,222400000
6151,FY 2020-21,Canadian Institutes of Health Research,Supplementary Estimates B,Contributions to employee benefit plans,96429
6152,FY 2020-21,Canadian Museum for Human Rights,Supplementary Estimates B,Payments pursuant to the Public Health Events of National Concern Payments Act,2206586
6153,FY 2020-21,Canadian Museum of History,Supplementary Estimates B,Payments pursuant to the Public Health Events of National Concern Payments Act,4256563
6154,FY 2020-21,Canadian Museum of Immigration at Pier 21,Supplementary Estimates B,Payments pursuant to the Public Health Events of National Concern Payments Act,2049575
6155,FY 2020-21,Canadian Museum of Nature,Supplementary Estimates B,Payments pursuant to the Public Health Events of National Concern Payments Act,5927263
6156,FY 2020-21,Canadian Northern Economic Development Agency,Supplementary Estimates B,Contributions to employee benefit plans,476871
6157,FY 2020-21,Canadian Radio-television and Telecommunications Commission,Supplementary Estimates B,Contributions to employee benefit plans,667668
6158,FY 2020-21,Canadian Space Agency,Supplementary Estimates B,Contributions to employee benefit plans,351000
6159,FY 2020-21,Canadian Transportation Agency,Supplementary Estimates B,Contributions to employee benefit plans,1499536
6160,FY 2020-21,Communications Security Establishment,Supplementary Estimates B,Contributions to employee benefit plans,480977
6161,FY 2020-21,Correctional Service of Canada,Supplementary Estimates B,Contributions to employee benefit plans,23630328
6162,FY 2020-21,Courts Administration Service,Supplementary Estimates B,Contributions to employee benefit plans,437360
6163,FY 2020-21,Department for Women and Gender Equality,Supplementary Estimates B,Payments pursuant to the Public Health Events of National Concern Payments Act,50000000
6164,FY 2020-21,Department of Agriculture and Agri-Food,Supplementary Estimates B,Payments pursuant to the Public Health Events of National Concern Payments Act,60000000
6165,FY 2020-21,Department of Canadian Heritage,Supplementary Estimates B,Payments pursuant to the Public Health Events of National Concern Payments Act,4445000
6166,FY 2020-21,Department of Citizenship and Immigration,Supplementary Estimates B,Contributions to employee benefit plans,3370050
6167,FY 2020-21,Department of Crown-Indigenous Relations and Northern Affairs,Supplementary Estimates B,Contributions to employee benefit plans,1512520
6168,FY 2020-21,Department of Employment and Social Development,Supplementary Estimates B,One-time payment to persons with disabilities pursuant to An Act respecting further COVID-19 measures,848600000
6169,FY 2020-21,Department of Employment and Social Development,Supplementary Estimates B,Payments pursuant to the Public Health Events of National Concern Payments Act,29134315176
6170,FY 2020-21,Department of Employment and Social Development,Supplementary Estimates B,Payments related to the direct financing arrangement under the Apprentice Loans Act,-992946
6171,FY 2020-21,Department of Employment and Social Development,Supplementary Estimates B,Contributions to employee benefit plans,1440799
6172,FY 2020-21,Department of Employment and Social Development,Supplementary Estimates B,Canada Student Grants to qualifying full and part-time students pursuant to the Canada Student Financial Assistance Act,1550605168
6173,FY 2020-21,Department of Employment and Social Development,Supplementary Estimates B,The provision of funds for interest and other payments to lending institutions and liabilities under the Canada Student Financial Assistance Act,5169172
6174,FY 2020-21,Department of Employment and Social Development,Supplementary Estimates B,The provision of funds for liabilities including liabilities in the form of guaranteed loans under the Canada Student Loans Act,202073
6175,FY 2020-21,Department of Employment and Social Development,Supplementary Estimates B,The provision of funds for interest payments to lending institutions under the Canada Student Loans Act,64783
6176,FY 2020-21,Department of Employment and Social Development,Supplementary Estimates B,Payments related to the direct financing arrangement under the Canada Student Financial Assistance Act,-207298351
6177,FY 2020-21,Department of Finance,Supplementary Estimates B,Payments to the Safe Return to Class Fund pursuant to paragraph 60.2(2)b of the Financial Administration Act,1000000000
6178,FY 2020-21,Department of Finance,Supplementary Estimates B,Payments for the Safe Restart Agreement pursuant to paragraph 60.2(2)b of the Financial Administration Act,12276726000
6179,FY 2020-21,Department of Finance,Supplementary Estimates B,Payments to the COVID-19 Essential Workers Support Fund pursuant to paragraph 60.2(2)b of the Financial Administration Act,2538999989
6180,FY 2020-21,Department of Finance,Supplementary Estimates B,Payment to the Province of Alberta pursuant to paragraph 60.2(2)b of the Financial Administration Act to clean up inactive oil and gas wells,-1000000000
6181,FY 2020-21,Department of Finance,Supplementary Estimates B,Other Interest Costs,2000000
6182,FY 2020-21,Department of Finance,Supplementary Estimates B,Interest on Unmatured Debt,-2339000000
6183,FY 2020-21,Department of Finance,Supplementary Estimates B,Alternative Payments for Standing Programs (Part VI - Federal-Provincial Fiscal Arrangements Act),702812000
6184,FY 2020-21,Department of Finance,Supplementary Estimates B,"Youth Allowances Recovery (Federal-Provincial Fiscal Revision Act, 1964)",170309000
6185,FY 2020-21,Department of Finance,Supplementary Estimates B,Purchase of Domestic Coinage,-2000000
6186,FY 2020-21,Department of Finance,Supplementary Estimates B,Contributions to employee benefit plans,553895
6187,FY 2020-21,Department of Fisheries and Oceans,Supplementary Estimates B,Payments pursuant to the Public Health Events of National Concern Payments Act,-56800000
6188,FY 2020-21,Department of Fisheries and Oceans,Supplementary Estimates B,Contributions to employee benefit plans,1724658
6189,FY 2020-21,"Department of Foreign Affairs, Trade and Development",Supplementary Estimates B,Payments pursuant to the Public Health Events of National Concern Payments Act,18050000
6190,FY 2020-21,"Department of Foreign Affairs, Trade and Development",Supplementary Estimates B,Payments to International Financial Institutions - Direct payments,9870000
6191,FY 2020-21,"Department of Foreign Affairs, Trade and Development",Supplementary Estimates B,Payments under the Diplomatic Service (Special) Superannuation Act,400000
6192,FY 2020-21,Department of Health,Supplementary Estimates B,Payments pursuant to the Public Health Events of National Concern Payments Act,221198925
6193,FY 2020-21,Department of Health,Supplementary Estimates B,Contributions to employee benefit plans,9571567
6194,FY 2020-21,Department of Indigenous Services,Supplementary Estimates B,Payments pursuant to the Public Health Events of National Concern Payments Act,782584778
6195,FY 2020-21,Department of Indigenous Services,Supplementary Estimates B,Contributions to employee benefit plans,1008962
6196,FY 2020-21,Department of Industry,Supplementary Estimates B,Payments pursuant to the Public Health Events of National Concern Payments Act,40923988
6197,FY 2020-21,Department of Industry,Supplementary Estimates B,Contributions to employee benefit plans,27496
6198,FY 2020-21,Department of National Defence,Supplementary Estimates B,Contributions to employee benefit plans,36787473
6199,FY 2020-21,Department of Natural Resources,Supplementary Estimates B,Payments pursuant to the Public Health Events of National Concern Payments Act,14522803
6200,FY 2020-21,Department of Natural Resources,Supplementary Estimates B,Climate Action Support Payments (Energy Manager Program and Clean Energy for Rural and Remote Communities Program),3600000
6201,FY 2020-21,Department of Natural Resources,Supplementary Estimates B,Contributions to employee benefit plans,2700120
6202,FY 2020-21,Department of Public Safety and Emergency Preparedness,Supplementary Estimates B,Payments pursuant to the Public Health Events of National Concern Payments Act,-1220400
6203,FY 2020-21,Department of Public Safety and Emergency Preparedness,Supplementary Estimates B,Contributions to employee benefit plans,97371
6204,FY 2020-21,Department of Public Works and Government Services,Supplementary Estimates B,Payments pursuant to the Public Health Events of National Concern Payments Act,100000000
6205,FY 2020-21,Department of Transport,Supplementary Estimates B,Contributions to employee benefit plans,499975
6206,FY 2020-21,Department of Veterans Affairs,Supplementary Estimates B,Payments pursuant to the Public Health Events of National Concern Payments Act,20000000
6207,FY 2020-21,Department of Western Economic Diversification,Supplementary Estimates B,Payments pursuant to the Public Health Events of National Concern Payments Act,207718000
6208,FY 2020-21,Department of Western Economic Diversification,Supplementary Estimates B,Contributions to employee benefit plans,526804
6209,FY 2020-21,Department of the Environment,Supplementary Estimates B,Payments pursuant to the Public Health Events of National Concern Payments Act,11338510
6210,FY 2020-21,Department of the Environment,Supplementary Estimates B,Contributions to employee benefit plans,116998
6211,FY 2020-21,Economic Development Agency of Canada for the Regions of Quebec,Supplementary Estimates B,Payments pursuant to the Public Health Events of National Concern Payments Act,14150000
6212,FY 2020-21,Federal Economic Development Agency for Southern Ontario,Supplementary Estimates B,Payments pursuant to the Public Health Events of National Concern Payments Act,103200000
6213,FY 2020-21,Federal Economic Development Agency for Southern Ontario,Supplementary Estimates B,Contributions to employee benefit plans,225397
6214,FY 2020-21,Financial Transactions and Reports Analysis Centre of Canada,Supplementary Estimates B,Contributions to employee benefit plans,606042
6215,FY 2020-21,House of Commons,Supplementary Estimates B,Contributions to employee benefit plans,815573
6216,FY 2020-21,Leaders' Debates Commission,Supplementary Estimates B,Contributions to employee benefit plans,254257
6217,FY 2020-21,National Arts Centre Corporation,Supplementary Estimates B,Payments pursuant to the Public Health Events of National Concern Payments Act,18200000
6218,FY 2020-21,National Gallery of Canada,Supplementary Estimates B,Payments pursuant to the Public Health Events of National Concern Payments Act,4808711
6219,FY 2020-21,National Museum of Science and Technology,Supplementary Estimates B,Payments pursuant to the Public Health Events of National Concern Payments Act,5338974
6220,FY 2020-21,National Research Council of Canada,Supplementary Estimates B,Payments pursuant to the Public Health Events of National Concern Payments Act,206680000
6221,FY 2020-21,National Research Council of Canada,Supplementary Estimates B,Contributions to employee benefit plans,488975
6222,FY 2020-21,Natural Sciences and Engineering Research Council,Supplementary Estimates B,Payments pursuant to the Public Health Events of National Concern Payments Act,153400000
6223,FY 2020-21,Offices of the Information and Privacy Commissioners of Canada,Supplementary Estimates B,Contributions to employee benefit plans,539986
6224,FY 2020-21,Parks Canada Agency,Supplementary Estimates B,Contributions to employee benefit plans,90180
6225,FY 2020-21,Parole Board of Canada,Supplementary Estimates B,Contributions to employee benefit plans,675000
6226,FY 2020-21,Privy Council Office,Supplementary Estimates B,Contributions to employee benefit plans,136630
6227,FY 2020-21,Public Health Agency of Canada,Supplementary Estimates B,Payments pursuant to the Public Health Events of National Concern Payments Act,8775450430
6228,FY 2020-21,Public Health Agency of Canada,Supplementary Estimates B,Contributions to employee benefit plans,1229
6229,FY 2020-21,Royal Canadian Mounted Police,Supplementary Estimates B,Contributions to employee benefit plans,606107
6230,FY 2020-21,Royal Canadian Mounted Police External Review Committee,Supplementary Estimates B,Contributions to employee benefit plans,305652
6231,FY 2020-21,Shared Services Canada,Supplementary Estimates B,Payments pursuant to the Public Health Events of National Concern Payments Act,13480000
6232,FY 2020-21,Shared Services Canada,Supplementary Estimates B,Contributions to employee benefit plans,516719
6233,FY 2020-21,Social Sciences and Humanities Research Council,Supplementary Estimates B,Payments pursuant to the Public Health Events of National Concern Payments Act,375700000
6234,FY 2020-21,Telefilm Canada,Supplementary Estimates B,Payments pursuant to the Public Health Events of National Concern Payments Act,52755000
6235,FY 2020-21,The Federal Bridge Corporation Limited,Supplementary Estimates B,Payments pursuant to the Public Health Events of National Concern Payments Act,1724241
6236,FY 2020-21,The National Battlefields Commission,Supplementary Estimates B,Payments pursuant to the Public Health Events of National Concern Payments Act,1112328
6237,FY 2020-21,Treasury Board Secretariat,Supplementary Estimates B,Contributions to employee benefit plans,2336531
6238,FY 2020-21,Atlantic Canada Opportunities Agency,Supplementary Estimates C,"Payments for the Community Futures Network pursuant to the Economic Statement Implementation Act, 2020",20300000
6239,FY 2020-21,Atlantic Canada Opportunities Agency,Supplementary Estimates C,"Payments to provide financing support to small and medium-sized businesses pursuant to the Economic Statement Implementation Act, 2020",10500000
6240,FY 2020-21,Atlantic Canada Opportunities Agency,Supplementary Estimates C,Contributions to employee benefit plans,5863
6241,FY 2020-21,Canada Border Services Agency,Supplementary Estimates C,Contributions to employee benefit plans,466959
6242,FY 2020-21,Canada Mortgage and Housing Corporation,Supplementary Estimates C,Payments pursuant to the Public Health Events of National Concern Payments Act,-831018985
6243,FY 2020-21,Canada Revenue Agency,Supplementary Estimates C,Payments pursuant to the Public Health Events of National Concern Payments Act,-28186975
6244,FY 2020-21,Canada Revenue Agency,Supplementary Estimates C,Contributions to employee benefit plans,15200531
6245,FY 2020-21,Canada Revenue Agency,Supplementary Estimates C,Spending of revenues received through the conduct of its operations pursuant to section 60 of the Canada Revenue Agency Act,38500000
6246,FY 2020-21,Canadian Food Inspection Agency,Supplementary Estimates C,Contributions to employee benefit plans,1788193
6247,FY 2020-21,Canadian Institutes of Health Research,Supplementary Estimates C,Payments pursuant to the Public Health Events of National Concern Payments Act,-126700000
6248,FY 2020-21,Correctional Service of Canada,Supplementary Estimates C,Contributions to employee benefit plans,9602044
6249,FY 2020-21,Courts Administration Service,Supplementary Estimates C,Contributions to employee benefit plans,187597
6250,FY 2020-21,Department for Women and Gender Equality,Supplementary Estimates C,Payments pursuant to the Public Health Events of National Concern Payments Act,-8700000
6251,FY 2020-21,Department of Agriculture and Agri-Food,Supplementary Estimates C,Payments pursuant to the Public Health Events of National Concern Payments Act,-17863715
6252,FY 2020-21,Department of Agriculture and Agri-Food,Supplementary Estimates C,Grant payments for the Dairy Direct Payment Program (Farm Income Protection Act),468000000
6253,FY 2020-21,Department of Agriculture and Agri-Food,Supplementary Estimates C,Contributions to employee benefit plans,272824
6254,FY 2020-21,Department of Canadian Heritage,Supplementary Estimates C,Payments pursuant to the Public Health Events of National Concern Payments Act,-340000
6255,FY 2020-21,Department of Canadian Heritage,Supplementary Estimates C,Contributions to employee benefit plans,307567
6256,FY 2020-21,Department of Citizenship and Immigration,Supplementary Estimates C,Contributions to employee benefit plans,730854
6257,FY 2020-21,Department of Crown-Indigenous Relations and Northern Affairs,Supplementary Estimates C,Contributions to employee benefit plans,34216
6258,FY 2020-21,Department of Employment and Social Development,Supplementary Estimates C,Payments pursuant to the Canada Recovery Benefits Act,13772000000
6259,FY 2020-21,Department of Employment and Social Development,Supplementary Estimates C,One-time payment to persons with disabilities pursuant to An Act respecting further COVID-19 measures,395866
6260,FY 2020-21,Department of Employment and Social Development,Supplementary Estimates C,Payments pursuant to the Public Health Events of National Concern Payments Act,-14672930758
6261,FY 2020-21,Department of Employment and Social Development,Supplementary Estimates C,Canada Disability Savings Grant payments to Registered Disability Savings Plan issuers on behalf of Registered Disability Savings Plan beneficiaries to encourage long-term financial security of eligible individuals disabilities,-40602487
6262,FY 2020-21,Department of Employment and Social Development,Supplementary Estimates C,Canada Disability Savings Bond payments to Registered Disability Savings Plan issuers on behalf of Registered Disability Savings Plan beneficiaries to encourage long-term financial security of eligible individuals with disabilities,-200516369
6263,FY 2020-21,Department of Employment and Social Development,Supplementary Estimates C,Contributions to employee benefit plans,1743953
6264,FY 2020-21,Department of Employment and Social Development,Supplementary Estimates C,Allowance payments (Old Age Security Act),-5829809
6265,FY 2020-21,Department of Employment and Social Development,Supplementary Estimates C,Guaranteed Income Supplement Payments (Old Age Security Act),37752929
6266,FY 2020-21,Department of Employment and Social Development,Supplementary Estimates C,Old Age Security payments (Old Age Security Act),-100099040
6267,FY 2020-21,Department of Employment and Social Development,Supplementary Estimates C,"Payments for the Canada Emergency Response Benefit pursuant to the Economic Statement Implementation Act, 2020",500000000
6268,FY 2020-21,Department of Finance,Supplementary Estimates C,Payment to the Province of Newfoundland and Labrador pursuant to paragraph 60.2(2)b of the Financial Administration Act to support offshore energy sector workers,320000000
6269,FY 2020-21,Department of Finance,Supplementary Estimates C,Payment to the Canada Infrastructure Bank,2252357000
6270,FY 2020-21,Department of Finance,Supplementary Estimates C,Other Interest Costs,-25000000
6271,FY 2020-21,Department of Finance,Supplementary Estimates C,Interest on Unmatured Debt,-107650000
6272,FY 2020-21,Department of Finance,Supplementary Estimates C,Alternative Payments for Standing Programs (Part VI - Federal-Provincial Fiscal Arrangements Act),-527995000
6273,FY 2020-21,Department of Finance,Supplementary Estimates C,"Youth Allowances Recovery (Federal-Provincial Fiscal Revision Act, 1964)",-131649520
6274,FY 2020-21,Department of Finance,Supplementary Estimates C,"Statutory Subsidies (Constitution Acts, 1867-1982, and other statutory authorities)",-4588
6275,FY 2020-21,Department of Fisheries and Oceans,Supplementary Estimates C,Payments pursuant to the Public Health Events of National Concern Payments Act,-339744225
6276,FY 2020-21,Department of Fisheries and Oceans,Supplementary Estimates C,Contributions to employee benefit plans,560606
6277,FY 2020-21,"Department of Foreign Affairs, Trade and Development",Supplementary Estimates C,Contributions to employee benefit plans,1025660
6278,FY 2020-21,Department of Health,Supplementary Estimates C,"Payments for medical research, countermeasures, vaccine funding and development, border and travel measures and isolation sites pursuant to the Economic Statement Implementation Act, 2020",217571975
6279,FY 2020-21,Department of Health,Supplementary Estimates C,"Payments for supporting innovative approaches to COVID-19 testing pursuant to the Economic Statement Implementation Act, 2020",45000000
6280,FY 2020-21,Department of Health,Supplementary Estimates C,"Payments for investments in long-term care pursuant to the Economic Statement Implementation Act, 2020",505650000
6281,FY 2020-21,Department of Health,Supplementary Estimates C,"Payments for mental health and substance use in the context of COVID-19 pursuant to the Economic Statement Implementation Act, 2020",64427300
6282,FY 2020-21,Department of Health,Supplementary Estimates C,Payments pursuant to the Public Health Events of National Concern Payments Act,-350162445
6283,FY 2020-21,Department of Health,Supplementary Estimates C,Contributions to employee benefit plans,2427906
6284,FY 2020-21,Department of Health,Supplementary Estimates C,"Payments for virtual care and mental health tools for Canadians pursuant to the Economic Statement Implementation Act, 2020",68649968
6285,FY 2020-21,"Department of Housing, Infrastructure and Communities",Supplementary Estimates C,Contributions to employee benefit plans,450437
6286,FY 2020-21,Department of Indigenous Services,Supplementary Estimates C,Payments pursuant to the Public Health Events of National Concern Payments Act,-96068838
6287,FY 2020-21,Department of Indigenous Services,Supplementary Estimates C,Contributions to employee benefit plans,5046268
6288,FY 2020-21,Department of Industry,Supplementary Estimates C,"Payments for the Community Futures Network pursuant to the Economic Statement Implementation Act, 2020",17900000
6289,FY 2020-21,Department of Industry,Supplementary Estimates C,"Payments to provide financing support to small and medium-sized businesses pursuant to the Economic Statement Implementation Act, 2020",8460000
6290,FY 2020-21,Department of Industry,Supplementary Estimates C,Payments pursuant to the Public Health Events of National Concern Payments Act,-20784546
6291,FY 2020-21,Department of Industry,Supplementary Estimates C,Contributions to employee benefit plans,1006831
6292,FY 2020-21,Department of Justice,Supplementary Estimates C,Contributions to employee benefit plans,525205
6293,FY 2020-21,Department of Natural Resources,Supplementary Estimates C,Contributions to employee benefit plans,200081
6294,FY 2020-21,Department of Public Safety and Emergency Preparedness,Supplementary Estimates C,Contributions to employee benefit plans,617407
6295,FY 2020-21,Department of Public Works and Government Services,Supplementary Estimates C,Payments pursuant to the Public Health Events of National Concern Payments Act,-379994612
6296,FY 2020-21,Department of Public Works and Government Services,Supplementary Estimates C,Contributions to employee benefit plans,3589484
6297,FY 2020-21,Department of Western Economic Diversification,Supplementary Estimates C,"Payments for the Community Futures Network pursuant to the Economic Statement Implementation Act, 2020",63800000
6298,FY 2020-21,Department of Western Economic Diversification,Supplementary Estimates C,"Payments to provide financing support to small and medium-sized businesses pursuant to the Economic Statement Implementation Act, 2020",85700000
6299,FY 2020-21,Department of Western Economic Diversification,Supplementary Estimates C,Payments pursuant to the Public Health Events of National Concern Payments Act,-125000000
6300,FY 2020-21,Department of the Environment,Supplementary Estimates C,Contributions to employee benefit plans,1665792
6301,FY 2020-21,Economic Development Agency of Canada for the Regions of Quebec,Supplementary Estimates C,Payments pursuant to the Public Health Events of National Concern Payments Act,-1650000
6302,FY 2020-21,Economic Development Agency of Canada for the Regions of Quebec,Supplementary Estimates C,Contributions to employee benefit plans,25235
6303,FY 2020-21,Federal Economic Development Agency for Southern Ontario,Supplementary Estimates C,Payments pursuant to the Public Health Events of National Concern Payments Act,-14459146
6304,FY 2020-21,Library and Archives of Canada,Supplementary Estimates C,Contributions to employee benefit plans,465528
6305,FY 2020-21,National Research Council of Canada,Supplementary Estimates C,Payments pursuant to the Public Health Events of National Concern Payments Act,-181579520
6306,FY 2020-21,National Research Council of Canada,Supplementary Estimates C,Contributions to employee benefit plans,481379
6307,FY 2020-21,Office of the Auditor General,Supplementary Estimates C,Contributions to employee benefit plans,2211300
6308,FY 2020-21,Public Health Agency of Canada,Supplementary Estimates C,Payments pursuant to the Public Health Events of National Concern Payments Act,-5585821429
6309,FY 2020-21,Public Health Agency of Canada,Supplementary Estimates C,Contributions to employee benefit plans,18651729
6310,FY 2020-21,Registrar of the Supreme Court of Canada,Supplementary Estimates C,Contributions to employee benefit plans,39726
6311,FY 2020-21,Royal Canadian Mounted Police,Supplementary Estimates C,Contributions to employee benefit plans,792911
6312,FY 2020-21,Royal Canadian Mounted Police,Supplementary Estimates C,Pensions and other employee benefits - Members of the Force,740205
6313,FY 2020-21,Telefilm Canada,Supplementary Estimates C,Payments pursuant to the Public Health Events of National Concern Payments Act,-49654000
6314,FY 2020-21,The Federal Bridge Corporation Limited,Supplementary Estimates C,Payments pursuant to the Public Health Events of National Concern Payments Act,-243854
6315,FY 2020-21,Treasury Board Secretariat,Supplementary Estimates C,Contributions to employee benefit plans,645916
6316,FY 2021-22,Administrative Tribunals Support Service of Canada,Main Estimates,Contributions to employee benefit plans,11274095
6317,FY 2021-22,Atlantic Canada Opportunities Agency,Main Estimates,Contributions to employee benefit plans,8286337
6318,FY 2021-22,Canada Border Services Agency,Main Estimates,Contributions to employee benefit plans,190586229
6319,FY 2021-22,Canada Revenue Agency,Main Estimates,Distribution of fuel charges (to provinces and territories) under sections 165 of the Greenhouse Gas Pollution Pricing Act,25000000
6320,FY 2021-22,Canada Revenue Agency,Main Estimates,Distribution of fuel charges (Canada Carbon Rebate) under section 165 of the Greenhouse Gas Pollution Pricing Act and section 122.8 of the Income Tax Act,5856000000
6321,FY 2021-22,Canada Revenue Agency,Main Estimates,Children's special allowance payments,373000000
6322,FY 2021-22,Canada Revenue Agency,Main Estimates,Contributions to employee benefit plans,484808699
6323,FY 2021-22,Canada Revenue Agency,Main Estimates,Spending of revenues received through the conduct of its operations pursuant to section 60 of the Canada Revenue Agency Act,279322693
6324,FY 2021-22,Canada Revenue Agency,Main Estimates,Salary and Motor Car Allowance,90500
6325,FY 2021-22,Canada School of Public Service,Main Estimates,Spending of revenues pursuant to subsection 18(2) of the Canada School of Public Service Act,6723332
6326,FY 2021-22,Canada School of Public Service,Main Estimates,Contributions to employee benefit plans,8824551
6327,FY 2021-22,Canadian Accessibility Standards Development Organization,Main Estimates,Contributions to employee benefit plans,828736
6328,FY 2021-22,Canadian Centre for Occupational Health and Safety,Main Estimates,Spending of Revenues pursuant to Section 6(1)(g) of the Canadian Centre for Occupational Health and Safety Act,8101178
6329,FY 2021-22,Canadian Centre for Occupational Health and Safety,Main Estimates,Contributions to employee benefit plans,776369
6330,FY 2021-22,Canadian Energy Regulator,Main Estimates,Contributions to employee benefit plans,10771018
6331,FY 2021-22,Canadian Food Inspection Agency,Main Estimates,Spending of Revenues pursuant to Section 30 of the Canadian Food Inspection Agency Act,53000000
6332,FY 2021-22,Canadian Food Inspection Agency,Main Estimates,Contributions to employee benefit plans,81539424
6333,FY 2021-22,Canadian Food Inspection Agency,Main Estimates,"Compensation payments in accordance with requirements established by Regulations under the Health of Animals Act and the Plant Protection Act, and authorized pursuant to the Canadian Food Inspection Agency Act",12500000
6334,FY 2021-22,Canadian Grain Commission,Main Estimates,Contributions to employee benefit plans,684389
6335,FY 2021-22,Canadian Grain Commission,Main Estimates,Canadian Grain Commission Revolving Fund,847955
6336,FY 2021-22,Canadian High Arctic Research Station,Main Estimates,Spending of revenue pursuant to section 6(2) of the Canadian High Arctic Research Station Act,732099
6337,FY 2021-22,Canadian High Arctic Research Station,Main Estimates,Contributions to employee benefit plans,1723994
6338,FY 2021-22,Canadian Human Rights Commission,Main Estimates,Contributions to employee benefit plans,3854519
6339,FY 2021-22,Canadian Institutes of Health Research,Main Estimates,Contributions to employee benefit plans,7206377
6340,FY 2021-22,Canadian Intergovernmental Conference Secretariat,Main Estimates,Contributions to employee benefit plans,434248
6341,FY 2021-22,Canadian Northern Economic Development Agency,Main Estimates,Contributions to employee benefit plans,1962319
6342,FY 2021-22,Canadian Nuclear Safety Commission,Main Estimates,Contributions to employee benefit plans,4416994
6343,FY 2021-22,Canadian Nuclear Safety Commission,Main Estimates,Spending of the revenues pursuant to section 21(3) of the Nuclear Safety and Control Act,98250551
6344,FY 2021-22,Canadian Radio-television and Telecommunications Commission,Main Estimates,Contributions to employee benefit plans,7908211
6345,FY 2021-22,Canadian Security Intelligence Service,Main Estimates,Contributions to employee benefit plans,51752524
6346,FY 2021-22,Canadian Space Agency,Main Estimates,Contributions to employee benefit plans,11085844
6347,FY 2021-22,Canadian Transportation Accident Investigation and Safety Board,Main Estimates,Contributions to employee benefit plans,3763327
6348,FY 2021-22,Canadian Transportation Agency,Main Estimates,Contributions to employee benefit plans,4606390
6349,FY 2021-22,Civilian Review and Complaints Commission for the Royal Canadian Mounted Police,Main Estimates,Contributions to employee benefit plans,1080512
6350,FY 2021-22,Communications Security Establishment,Main Estimates,Contributions to employee benefit plans,45728901
6351,FY 2021-22,Copyright Board,Main Estimates,Contributions to employee benefit plans,398141
6352,FY 2021-22,Correctional Service of Canada,Main Estimates,CORCAN Revolving Fund,2281904
6353,FY 2021-22,Correctional Service of Canada,Main Estimates,Contributions to employee benefit plans,244246204
6354,FY 2021-22,Courts Administration Service,Main Estimates,Contributions to employee benefit plans,8235290
6355,FY 2021-22,Department for Women and Gender Equality,Main Estimates,Salary and Motor Car Allowance,90500
6356,FY 2021-22,Department for Women and Gender Equality,Main Estimates,Contributions to employee benefit plans,4567564
